case,run,VB,time,DOC,feed,material,cut_no,tool_class,window_start,window_end
1,1,0,2,1.5,0.5,1,0,0,2496,6976
1,2,,4,1.5,0.5,1,1,0,2496,6976
1,3,,6,1.5,0.5,1,2,0,2496,6976
1,4,0.11,7,1.5,0.5,1,3,0,2496,6976
1,5,,11,1.5,0.5,1,4,0,2496,6976
1,6,0.2,15,1.5,0.5,1,5,1,2496,6976
1,7,0.24,19,1.5,0.5,1,6,1,2496,6976
1,8,0.29,22,1.5,0.5,1,7,1,2496,6976
1,9,0.28,26,1.5,0.5,1,8,1,2496,6976
1,10,0.29,29,1.5,0.5,1,9,1,2496,6976
1,11,0.38,32,1.5,0.5,1,10,1,2496,6976
1,12,0.4,35,1.5,0.5,1,11,1,2496,6976
1,13,0.43,38,1.5,0.5,1,12,1,2496,6976
1,14,0.45,41,1.5,0.5,1,13,1,2496,6976
1,15,0.5,44,1.5,0.5,1,14,1,2496,6976
1,16,,46,1.5,0.5,1,15,1,2496,6976
1,17,0.44,48,1.5,0.5,1,16,1,2496,6976
2,1,0.08,3,0.75,0.5,1,17,0,64,128
2,2,0.14,9,0.75,0.5,1,18,0,2496,6976
2,3,0.14,12,0.75,0.5,1,19,0,2496,6976
2,4,0.14,15,0.75,0.5,1,20,0,2496,6976
2,5,0.15,22,0.75,0.5,1,21,0,4224,6976
2,6,,24,0.75,0.5,1,22,0,5056,6976
2,7,0.18,27,0.75,0.5,1,23,0,2496,6976
2,8,0.22,33,0.75,0.5,1,24,1,2496,6976
2,9,0.26,39,0.75,0.5,1,25,1,2496,6976
2,10,0.31,45,0.75,0.5,1,26,1,3520,8000
2,11,0.38,51,0.75,0.5,1,27,1,2496,6976
2,12,0.43,59,0.75,0.5,1,28,1,2496,6976
2,13,0.48,66,0.75,0.5,1,29,1,2496,6976
2,14,0.55,72,0.75,0.5,1,30,1,3520,8000
3,1,0,0,0.75,0.25,1,31,0,4480,8960
3,2,0.13,3,0.75,0.25,1,32,0,4480,8960
3,3,0.13,9,0.75,0.25,1,33,0,4480,8960
3,5,0.17,21,0.75,0.25,1,34,0,4480,8960
3,6,0.19,27,0.75,0.25,1,35,0,3520,8960
3,7,0.2,33,0.75,0.25,1,36,1,3520,8960
3,8,0.23,39,0.75,0.25,1,37,1,3520,8960
3,9,0.23,45,0.75,0.25,1,38,1,4480,8960
3,10,0.26,51,0.75,0.25,1,39,1,3520,8960
3,11,0.28,57,0.75,0.25,1,40,1,4160,8960
3,12,0.33,63,0.75,0.25,1,41,1,4160,8960
3,14,0.36,69,0.75,0.25,1,42,1,4480,8960
3,15,0.44,75,0.75,0.25,1,43,1,4480,8960
3,16,0.55,81,0.75,0.25,1,44,1,4480,8960
4,1,0.08,3,1.5,0.25,1,45,0,4480,8960
4,2,0.13,9,1.5,0.25,1,46,0,4480,8960
4,3,0.2,15,1.5,0.25,1,47,1,4160,8960
4,4,0.31,21,1.5,0.25,1,48,1,4160,8960
4,5,0.35,27,1.5,0.25,1,49,1,4160,8960
4,6,0.4,34,1.5,0.25,1,50,1,4160,8960
4,7,0.49,39,1.5,0.25,1,51,1,4160,8960
9,1,0,1,1.5,0.5,1,52,0,2112,6720
9,2,0.1,3,1.5,0.5,1,53,0,2112,6720
9,3,0.14,9,1.5,0.5,1,54,0,2112,6464
9,4,0.19,16,1.5,0.5,1,55,0,2496,6720
9,5,0.27,22,1.5,0.5,1,56,1,2496,6720
9,6,0.38,28,1.5,0.5,1,57,1,2496,6720
9,7,0.47,34,1.5,0.5,1,58,1,2496,6720
9,8,0.64,40,1.5,0.5,1,59,1,2496,6720
9,9,0.81,46,1.5,0.5,1,60,2,2112,6464
10,1,0,0,1.5,0.25,1,61,0,4480,8960
10,2,0.04,4,1.5,0.25,1,62,0,4480,8960
10,3,0.08,9,1.5,0.25,1,63,0,4480,8960
10,4,0.16,15,1.5,0.25,1,64,0,4160,8960
10,5,0.25,21,1.5,0.25,1,65,1,4160,8960
10,6,0.36,27,1.5,0.25,1,66,1,4160,8960
10,7,0.43,33,1.5,0.25,1,67,1,4160,8960
10,8,0.47,39,1.5,0.25,1,68,1,4160,8960
10,9,0.53,45,1.5,0.25,1,69,1,4160,8960
10,10,0.7,57,1.5,0.25,1,70,2,5056,8960
11,1,0,1,0.75,0.25,1,71,0,4160,8960
11,2,0.04,3,0.75,0.25,1,72,0,4160,8960
11,3,0.07,10,0.75,0.25,1,73,0,4160,8960
11,4,0.07,12,0.75,0.25,1,74,0,4160,8960
11,5,0.08,14,0.75,0.25,1,75,0,4160,8960
11,6,0.09,17,0.75,0.25,1,76,0,4160,8960
11,7,,19,0.75,0.25,1,77,0,4160,8960
11,8,0.12,21,0.75,0.25,1,78,0,4160,8960
11,9,0.16,27,0.75,0.25,1,79,0,4160,8960
11,10,0.18,33,0.75,0.25,1,80,0,4160,8960
11,11,0.2,39,0.75,0.25,1,81,1,4160,8960
11,12,0.23,45,0.75,0.25,1,82,1,4160,8960
11,13,0.26,51,0.75,0.25,1,83,1,4160,8960
11,14,,54,0.75,0.25,1,84,1,4160,8960
11,15,0.31,57,0.75,0.25,1,85,1,4160,8960
11,16,0.37,63,0.75,0.25,1,86,1,4160,8960
11,17,,67,0.75,0.25,1,87,1,4160,8960
11,18,0.42,72,0.75,0.25,1,88,1,4160,8960
11,19,0.47,80,0.75,0.25,1,89,1,4160,8960
11,20,0.57,86,0.75,0.25,1,90,1,4160,8960
11,21,0.65,93,0.75,0.25,1,91,1,4160,8960
11,22,0.68,100,0.75,0.25,1,92,1,4160,8960
11,23,0.76,105,0.75,0.25,1,93,2,4160,8960
12,1,,1,0.75,0.5,1,94,0,64,128
12,2,0.05,3,0.75,0.5,1,95,0,2496,6720
12,3,0.08,6,0.75,0.5,1,96,0,2496,6464
12,4,,12,0.75,0.5,1,97,0,2496,6464
12,5,0.12,19,0.75,0.5,1,98,0,3008,6464
12,6,0.17,24,0.75,0.5,1,99,0,2496,6720
12,7,0.2,30,0.75,0.5,1,100,1,2496,6720
12,8,0.24,36,0.75,0.5,1,101,1,2496,6720
12,9,0.32,42,0.75,0.5,1,102,1,2496,6720
12,10,,45,0.75,0.5,1,103,1,2496,6720
12,11,0.4,49,0.75,0.5,1,104,1,2496,6464
12,12,0.45,55,0.75,0.5,1,105,1,2496,3904
12,13,0.49,61,0.75,0.5,1,106,1,2496,6720
12,14,0.58,67,0.75,0.5,1,107,1,2496,6720
12,15,0.65,74,0.75,0.5,1,108,1,2496,6464
5,1,0,0,1.5,0.5,2,109,0,2496,6464
5,2,0.16,3,1.5,0.5,2,110,0,2496,6720
5,3,0.29,6,1.5,0.5,2,111,1,2496,6976
5,4,0.44,9,1.5,0.5,2,112,1,2496,6976
5,5,0.53,12,1.5,0.5,2,113,1,2496,6976
5,6,0.74,15,1.5,0.5,2,114,2,2496,6720
6,1,0,0,1.5,0.25,2,115,0,4160,8960
7,1,0,1,0.75,0.25,2,116,0,4160,8960
7,2,0.09,3,0.75,0.25,2,117,0,4160,8960
7,3,0.13,6,0.75,0.25,2,118,0,4160,8960
7,4,0.22,10,0.75,0.25,2,119,1,4160,8960
7,5,0.24,13,0.75,0.25,2,120,1,4480,8960
7,6,0.34,15,0.75,0.25,2,121,1,4160,8960
7,7,0.46,19,0.75,0.25,2,122,1,4160,8960
7,8,,21,0.75,0.25,2,123,1,4480,8960
8,1,0,0,0.75,0.5,2,124,0,2496,6720
8,2,0.18,3,0.75,0.5,2,125,0,2496,6720
8,3,0.3,6,0.75,0.5,2,126,1,2496,6720
8,4,,8,0.75,0.5,2,127,1,2496,6720
8,5,0.44,9,0.75,0.5,2,128,1,2496,6720
8,6,0.62,12,0.75,0.5,2,129,1,2496,6720
13,1,,1,0.75,0.25,2,130,0,4480,8960
13,2,,2,0.75,0.25,2,131,0,4480,8960
13,3,0.1,4,0.75,0.25,2,132,0,4480,8960
13,4,0.13,7,0.75,0.25,2,133,0,4480,8960
13,5,0.17,11,0.75,0.25,2,134,0,4160,8960
13,6,0.32,16,0.75,0.25,2,135,1,4160,8960
13,7,0.38,19,0.75,0.25,2,136,1,4160,8960
13,8,0.49,22,0.75,0.25,2,137,1,4160,8960
13,9,0.56,25,0.75,0.25,2,138,1,4160,8960
13,10,0.68,29,0.75,0.25,2,139,1,4160,8960
13,11,0.83,32,0.75,0.25,2,140,2,4160,8960
13,12,0.92,35,0.75,0.25,2,141,2,4160,8960
13,13,1.07,38,0.75,0.25,2,142,2,4160,8960
13,14,1.3,42,0.75,0.25,2,143,2,4160,8960
13,15,1.53,45,0.75,0.25,2,144,2,4160,8960
14,1,,1,0.75,0.5,2,145,0,2496,6976
14,2,0.09,3,0.75,0.5,2,146,0,2496,6464
14,3,0.17,6,0.75,0.5,2,147,0,2496,6720
14,4,0.24,9,0.75,0.5,2,148,1,2496,6720
14,5,,11,0.75,0.5,2,149,1,2496,6720
14,6,0.35,12,0.75,0.5,2,150,1,2496,6464
14,8,0.6,18,0.75,0.5,2,151,1,2496,6464
14,9,0.81,21,0.75,0.5,2,152,2,2496,6464
14,10,1.14,24,0.75,0.5,2,153,2,2496,6464
15,1,,1,1.5,0.25,2,154,0,4160,8960
15,2,0.15,3,1.5,0.25,2,155,0,4160,8960
15,3,0.28,6,1.5,0.25,2,156,1,4160,8960
15,4,0.37,9,1.5,0.25,2,157,1,4160,8960
15,5,0.48,13,1.5,0.25,2,158,1,4160,8960
15,6,0.56,16,1.5,0.25,2,159,1,4480,8960
15,7,0.7,19,1.5,0.25,2,160,2,4160,8960
16,1,,1,1.5,0.5,2,161,0,2496,6720
16,2,,2,1.5,0.5,2,162,0,2496,6720
16,3,0.24,3,1.5,0.5,2,163,1,2496,6720
16,4,,4,1.5,0.5,2,164,1,2496,6720
16,5,0.4,6,1.5,0.5,2,165,1,2496,6720
16,6,0.62,9,1.5,0.5,2,166,1,2496,6720
